seed,method,labeled_fraction,labeled_percent,num_train_samples,freeze_pretrained_epochs,best_val_dice
2,hybrid_rot_cpc,1.0,100,208,5,0.4012098014354706
1,jigsaw,1.0,100,208,5,0.40006276965141296
2,rpl,1.0,100,208,5,0.3948397934436798
0,rotation,1.0,100,208,5,0.36723965406417847
1,cpc,1.0,100,208,5,0.362348347902298
0,hybrid_rot_cpc,1.0,100,208,5,0.3564373254776001
2,exemplar,1.0,100,208,5,0.3532942533493042
0,jigsaw,1.0,100,208,5,0.3530231714248657
1,rpl,1.0,100,208,5,0.3502556383609772
2,cpc,1.0,100,208,5,0.34346330165863037
2,rotation,1.0,100,208,5,0.34177061915397644
1,exemplar,1.0,100,208,5,0.33966559171676636
1,rotation,1.0,100,208,5,0.3385378122329712
0,cpc,1.0,100,208,5,0.3356471359729767
1,hybrid_rot_cpc,1.0,100,208,5,0.3355228006839752
0,rpl,1.0,100,208,5,0.3263404667377472
0,exemplar,1.0,100,208,5,0.32097694277763367
2,jigsaw,1.0,100,208,5,0.31783777475357056
0,scratch,1.0,100,208,0,0.31732383370399475
1,scratch,1.0,100,208,0,0.294433057308197
2,scratch,1.0,100,208,0,0.29272907972335815
2,cpc,0.9,90,187,5,0.412345826625824
1,rotation,0.9,90,187,5,0.4046967327594757
2,rpl,0.9,90,187,5,0.4014936685562134
1,rpl,0.9,90,187,5,0.39457938075065613
1,scratch,0.9,90,187,0,0.38458067178726196
2,jigsaw,0.9,90,187,5,0.38224872946739197
2,rotation,0.9,90,187,5,0.3721746802330017
0,exemplar,0.9,90,187,5,0.3718208074569702
0,rpl,0.9,90,187,5,0.3659549057483673
1,jigsaw,0.9,90,187,5,0.3622734248638153
0,cpc,0.9,90,187,5,0.36144572496414185
1,cpc,0.9,90,187,5,0.3572569489479065
1,hybrid_rot_cpc,0.9,90,187,5,0.3569726347923279
2,exemplar,0.9,90,187,5,0.35385915637016296
0,rotation,0.9,90,187,5,0.353213906288147
2,hybrid_rot_cpc,0.9,90,187,5,0.35302385687828064
0,jigsaw,0.9,90,187,5,0.3499755561351776
2,scratch,0.9,90,187,0,0.3449063003063202
0,hybrid_rot_cpc,0.9,90,187,5,0.3405326008796692
1,exemplar,0.9,90,187,5,0.3375328481197357
0,scratch,0.9,90,187,0,0.32222849130630493
2,jigsaw,0.8,80,166,5,0.43222904205322266
1,rotation,0.8,80,166,5,0.4174026846885681
